label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
upper,27,153,442,312,100.png,512,512
upper,29,140,436,331,114.png,512,512
upper,29,136,433,334,124.png,512,512
upper,29,135,430,338,134.png,512,512
upper,33,133,436,341,144.png,512,512
upper,34,128,441,345,156.png,512,512
upper,36,129,445,345,168.png,512,512
upper,39,125,446,347,178.png,512,512
upper,48,121,440,352,194.png,512,512
upper,54,123,434,348,204.png,512,512
upper,71,121,402,345,238.png,512,512
upper,71,123,402,345,239.png,512,512
abdominal,72,122,398,344,240.png,512,512
abdominal,71,122,398,344,242.png,512,512
abdominal,70,122,398,345,243.png,512,512
abdominal,71,123,394,344,246.png,512,512
abdominal,71,122,392,343,249.png,512,512
upper,13,168,499,265,25.png,512,512
abdominal,72,123,386,340,253.png,512,512
abdominal,72,122,383,342,255.png,512,512
abdominal,72,123,379,342,257.png,512,512
upper,11,166,499,268,26.png,512,512
abdominal,72,124,367,338,265.png,512,512
upper,12,166,496,266,27.png,512,512
abdominal,71,125,369,336,270.png,512,512
upper,14,168,497,266,28.png,512,512
upper,14,167,492,268,32.png,512,512
upper,18,167,488,268,34.png,512,512
upper,17,167,490,268,36.png,512,512
upper,18,167,487,275,39.png,512,512
upper,19,168,487,278,42.png,512,512
upper,20,167,483,281,47.png,512,512
upper,22,167,480,280,52.png,512,512
abdominal,4,176,497,296,599.png,512,512
upper,23,166,473,285,60.png,512,512
abdominal,7,180,494,291,612.png,512,512
abdominal,3,184,498,286,623.png,512,512
abdominal,2,185,501,283,629.png,512,512
upper,24,166,469,285,63.png,512,512
abdominal,3,186,499,283,630.png,512,512
lower,3,187,500,282,632.png,512,512
lower,4,188,497,280,634.png,512,512
lower,4,189,498,278,636.png,512,512
lower,1,193,500,274,641.png,512,512
lower,1,196,502,269,647.png,512,512
lower,1,200,501,263,658.png,512,512
lower,3,204,501,257,670.png,512,512
lower,2,206,501,252,681.png,512,512
