label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
abdominal,7,96,489,318,100.png,512,512
abdominal,6,97,492,319,102.png,512,512
abdominal,7,96,490,319,104.png,512,512
abdominal,7,97,492,319,106.png,512,512
abdominal,5,95,493,320,108.png,512,512
abdominal,6,95,493,321,110.png,512,512
abdominal,6,95,492,320,112.png,512,512
abdominal,4,92,493,323,114.png,512,512
abdominal,4,94,492,319,116.png,512,512
abdominal,9,94,481,317,118.png,512,512
abdominal,9,94,487,317,120.png,512,512
abdominal,12,97,487,313,122.png,512,512
abdominal,11,95,488,315,124.png,512,512
abdominal,6,98,494,316,126.png,512,512
abdominal,3,99,498,315,128.png,512,512
abdominal,3,99,498,316,130.png,512,512
abdominal,4,101,498,315,132.png,512,512
abdominal,3,103,500,313,134.png,512,512
abdominal,2,101,502,316,136.png,512,512
abdominal,0,101,504,315,138.png,512,512
abdominal,1,101,504,316,140.png,512,512
abdominal,1,99,504,320,142.png,512,512
abdominal,1,102,505,316,144.png,512,512
abdominal,0,101,506,318,146.png,512,512
abdominal,0,102,504,317,148.png,512,512
abdominal,0,103,504,317,150.png,512,512
abdominal,0,105,505,315,152.png,512,512
abdominal,0,106,505,315,154.png,512,512
abdominal,0,108,505,313,156.png,512,512
abdominal,0,108,505,313,158.png,512,512
abdominal,0,112,504,310,162.png,512,512
abdominal,0,115,506,307,166.png,512,512
abdominal,0,116,505,306,170.png,512,512
abdominal,0,116,505,307,174.png,512,512
abdominal,0,115,504,308,178.png,512,512
abdominal,0,113,505,311,182.png,512,512
abdominal,0,111,504,313,186.png,512,512
abdominal,0,112,505,312,190.png,512,512
abdominal,0,111,506,313,194.png,512,512
abdominal,0,110,504,312,198.png,512,512
abdominal,0,112,505,310,202.png,512,512
lower,0,113,505,308,203.png,512,512
lower,0,114,505,306,204.png,512,512
lower,0,110,504,310,205.png,512,512
lower,0,110,505,311,206.png,512,512
lower,0,110,504,310,207.png,512,512
lower,0,110,506,310,208.png,512,512
lower,0,110,505,310,209.png,512,512
lower,0,111,505,308,210.png,512,512
lower,1,111,504,307,211.png,512,512
lower,1,112,505,306,212.png,512,512
lower,0,110,504,306,213.png,512,512
lower,0,109,505,306,214.png,512,512
lower,0,110,504,306,215.png,512,512
lower,0,108,504,308,216.png,512,512
lower,0,107,505,308,218.png,512,512
lower,0,107,505,309,220.png,512,512
lower,0,107,505,307,222.png,512,512
lower,0,109,505,303,224.png,512,512
lower,0,107,504,304,226.png,512,512
lower,0,106,504,306,228.png,512,512
lower,0,106,505,304,230.png,512,512
lower,0,106,505,303,232.png,512,512
lower,0,107,504,301,234.png,512,512
lower,0,108,504,300,236.png,512,512
lower,0,109,504,298,238.png,512,512
lower,0,110,505,296,240.png,512,512
lower,0,110,504,295,242.png,512,512
lower,0,111,505,293,244.png,512,512
lower,1,112,502,292,246.png,512,512
lower,0,112,504,289,248.png,512,512
lower,1,119,503,283,250.png,512,512
lower,0,119,502,281,252.png,512,512
upper,0,103,507,282,33.png,512,512
upper,1,99,504,283,35.png,512,512
upper,1,97,505,298,37.png,512,512
upper,0,93,505,302,39.png,512,512
upper,1,90,504,308,41.png,512,512
upper,1,86,505,313,43.png,512,512
upper,0,86,505,315,45.png,512,512
upper,0,86,505,318,47.png,512,512
upper,0,88,507,315,49.png,512,512
upper,1,87,504,317,51.png,512,512
upper,1,88,505,317,53.png,512,512
upper,0,85,505,323,55.png,512,512
upper,0,86,506,323,57.png,512,512
upper,0,88,505,323,59.png,512,512
upper,0,83,505,327,61.png,512,512
abdominal,0,84,505,326,62.png,512,512
abdominal,1,82,504,328,63.png,512,512
abdominal,0,84,505,328,64.png,512,512
abdominal,0,84,505,327,65.png,512,512
abdominal,0,85,505,326,66.png,512,512
abdominal,0,84,505,328,67.png,512,512
abdominal,0,84,504,328,68.png,512,512
abdominal,0,86,506,327,69.png,512,512
abdominal,0,84,506,328,70.png,512,512
abdominal,0,86,504,327,71.png,512,512
abdominal,0,86,504,326,72.png,512,512
abdominal,1,86,505,327,73.png,512,512
abdominal,0,88,506,326,74.png,512,512
abdominal,0,89,505,325,75.png,512,512
abdominal,0,91,505,323,76.png,512,512
abdominal,0,92,505,321,77.png,512,512
abdominal,0,91,483,322,78.png,512,512
abdominal,0,95,479,319,79.png,512,512
abdominal,0,95,480,319,80.png,512,512
abdominal,0,97,481,318,81.png,512,512
abdominal,0,102,481,312,83.png,512,512
abdominal,0,106,482,306,85.png,512,512
abdominal,0,107,483,307,87.png,512,512
abdominal,0,104,485,308,89.png,512,512
abdominal,1,106,487,307,91.png,512,512
abdominal,11,101,479,312,93.png,512,512
abdominal,10,101,482,313,95.png,512,512
abdominal,9,97,485,317,97.png,512,512
abdominal,12,97,483,316,99.png,512,512
