label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
upper,3,187,478,210,1.png,512,512
upper,5,182,470,217,10.png,512,512
upper,5,138,436,252,100.png,512,512
lower,47,170,410,221,1000.png,512,512
upper,5,138,433,250,101.png,512,512
upper,7,135,434,253,106.png,512,512
upper,8,134,428,253,113.png,512,512
upper,7,133,426,253,118.png,512,512
upper,7,129,429,259,127.png,512,512
upper,7,125,431,263,137.png,512,512
upper,5,180,471,217,14.png,512,512
upper,8,125,435,261,144.png,512,512
upper,10,123,440,266,158.png,512,512
upper,4,178,472,219,17.png,512,512
upper,7,173,468,221,20.png,512,512
upper,17,118,445,272,200.png,512,512
abdominal,16,120,447,268,222.png,512,512
abdominal,22,117,444,268,224.png,512,512
abdominal,18,118,444,270,227.png,512,512
upper,8,173,464,220,23.png,512,512
abdominal,21,118,443,270,230.png,512,512
abdominal,27,119,434,268,246.png,512,512
upper,5,172,467,222,26.png,512,512
upper,3,169,462,225,30.png,512,512
upper,8,168,460,225,34.png,512,512
upper,3,187,475,210,4.png,512,512
upper,4,165,460,228,40.png,512,512
abdominal,68,115,345,266,460.png,512,512
abdominal,65,118,351,264,478.png,512,512
abdominal,64,118,353,264,493.png,512,512
upper,5,158,457,234,53.png,512,512
