label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
upper,0,42,472,370,1.png,512,512
upper,0,39,468,373,10.png,512,512
abdominal,10,43,470,369,100.png,512,512
abdominal,8,48,472,361,109.png,512,512
abdominal,7,51,475,362,119.png,512,512
abdominal,6,58,479,351,147.png,512,512
abdominal,4,65,484,346,170.png,512,512
abdominal,0,37,468,374,20.png,512,512
abdominal,1,76,493,333,213.png,512,512
abdominal,0,36,468,376,22.png,512,512
abdominal,0,79,496,329,220.png,512,512
abdominal,0,35,469,377,23.png,512,512
abdominal,0,81,499,328,232.png,512,512
abdominal,0,36,468,375,24.png,512,512
abdominal,0,36,468,376,25.png,512,512
abdominal,1,34,468,378,30.png,512,512
abdominal,0,92,503,315,313.png,512,512
abdominal,5,33,465,378,34.png,512,512
abdominal,7,31,463,379,37.png,512,512
abdominal,9,33,462,378,43.png,512,512
abdominal,29,89,452,308,455.png,512,512
upper,0,40,470,370,5.png,512,512
abdominal,11,31,460,380,50.png,512,512
abdominal,33,86,438,317,510.png,512,512
abdominal,31,86,441,316,514.png,512,512
abdominal,31,86,442,317,518.png,512,512
abdominal,13,31,460,379,52.png,512,512
abdominal,27,86,448,317,529.png,512,512
abdominal,26,87,450,313,538.png,512,512
abdominal,13,32,460,380,55.png,512,512
abdominal,28,91,450,305,569.png,512,512
abdominal,29,94,451,300,578.png,512,512
abdominal,29,95,450,300,583.png,512,512
abdominal,30,97,448,296,590.png,512,512
lower,31,100,448,294,596.png,512,512
lower,31,100,447,296,599.png,512,512
lower,31,102,447,293,602.png,512,512
lower,31,102,447,293,608.png,512,512
lower,32,104,449,289,613.png,512,512
lower,31,104,450,288,620.png,512,512
lower,31,106,450,286,626.png,512,512
lower,31,107,451,285,631.png,512,512
lower,30,109,455,283,642.png,512,512
lower,29,111,455,281,651.png,512,512
lower,28,112,457,281,659.png,512,512
lower,29,113,457,280,666.png,512,512
lower,28,112,457,280,673.png,512,512
lower,28,117,458,274,682.png,512,512
lower,28,117,457,276,689.png,512,512
lower,30,118,455,273,710.png,512,512
lower,31,120,453,270,717.png,512,512
