label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
abdominal,14,103,484,329,100.png,512,512
abdominal,14,111,478,325,108.png,512,512
abdominal,13,117,472,318,115.png,512,512
abdominal,13,129,486,311,121.png,512,512
abdominal,12,143,487,297,123.png,512,512
lower,12,156,489,283,125.png,512,512
lower,10,170,494,271,127.png,512,512
lower,11,171,494,269,129.png,512,512
lower,11,170,495,272,131.png,512,512
lower,10,169,496,272,133.png,512,512
lower,10,167,500,272,139.png,512,512
lower,10,170,500,269,143.png,512,512
lower,11,174,498,261,147.png,512,512
upper,12,157,494,262,21.png,512,512
upper,12,156,495,263,22.png,512,512
upper,14,152,492,268,24.png,512,512
upper,14,146,493,275,27.png,512,512
upper,11,137,496,288,32.png,512,512
upper,12,131,493,296,38.png,512,512
upper,14,130,492,300,42.png,512,512
abdominal,14,129,491,302,43.png,512,512
abdominal,12,128,492,304,44.png,512,512
abdominal,12,127,490,304,46.png,512,512
abdominal,16,123,481,308,50.png,512,512
abdominal,31,103,450,319,76.png,512,512
abdominal,16,101,471,320,84.png,512,512
abdominal,13,102,480,318,92.png,512,512
abdominal,14,103,482,323,97.png,512,512
